,0,1,2,3,4,5
0,2018/05/02,13:49:00,buy,open,3,1969.5
1,2018/05/02,13:56:00,sell,close,3,1981.5
2,2018/05/07,10:08:00,buy,open,3,2017.0
3,2018/05/07,11:00:00,sell,close,3,2036.0
4,2018/05/08,23:25:00,sell,open,3,1976.0
5,2018/05/10,9:04:00,buy,close,3,2005.5
6,2018/05/11,9:14:00,buy,open,3,2026.5
7,2018/05/11,11:09:00,sell,close,3,2046.5
8,2018/05/14,10:41:00,buy,open,3,2085.0
9,2018/05/14,22:42:00,sell,close,3,2123.5
10,2018/05/16,13:31:00,buy,open,3,2128.0
11,2018/05/16,13:34:00,sell,close,3,2145.0
12,2018/05/22,14:07:00,sell,open,3,2028.0
13,2018/05/23,9:42:00,buy,close,3,1979.0
14,2018/05/24,14:00:00,buy,open,4,1989.5
15,2018/05/25,9:02:00,sell,close,4,2013.0
16,2018/05/28,9:12:00,buy,open,4,2018.0
17,2018/05/28,9:19:00,sell,close,4,2006.0
18,2018/05/29,11:18:00,buy,open,3,2035.0
19,2018/05/29,14:02:00,sell,close,3,2063.5
20,2018/05/31,9:01:00,buy,open,3,2080.0
21,2018/06/01,10:50:00,sell,close,3,2097.0
22,2018/06/04,14:41:00,sell,open,4,2034.5
23,2018/06/04,22:33:00,buy,close,4,2030.0
24,2018/06/06,22:10:00,buy,open,4,2043.0
25,2018/06/06,22:22:00,sell,close,4,2033.0
26,2018/06/11,9:22:00,sell,open,4,2040.5
27,2018/06/11,9:32:00,buy,close,4,2050.5
28,2018/06/12,11:30:00,buy,open,3,2117.5
29,2018/06/12,13:31:00,sell,close,3,2132.5
30,2018/06/14,10:05:00,buy,open,3,2170.5
31,2018/06/14,11:19:00,sell,close,3,2193.0
32,2018/06/19,9:59:00,sell,open,3,2090.5
33,2018/06/19,10:02:00,buy,close,3,2077.0
34,2018/06/20,13:39:00,buy,open,3,2118.0
35,2018/06/21,13:40:00,sell,close,3,2145.0
36,2018/06/26,9:03:00,sell,open,4,2034.0
37,2018/06/26,21:20:00,buy,close,4,2032.0
38,2018/06/27,22:11:00,buy,open,4,2065.5
39,2018/06/27,23:28:00,sell,close,4,2065.5
40,2018/06/29,14:01:00,buy,open,4,2096.0
41,2018/06/29,14:59:00,sell,close,4,2120.0
42,2018/07/02,10:56:00,sell,open,4,2054.0
43,2018/07/02,14:39:00,buy,close,4,2024.0
44,2018/07/04,21:30:00,sell,open,4,2001.5
45,2018/07/04,21:43:00,buy,close,4,2010.5
46,2018/07/06,10:32:00,sell,open,4,1973.0
47,2018/07/06,10:41:00,buy,close,4,1980.0
48,2018/07/09,14:59:00,buy,open,4,2034.0
49,2018/07/09,21:25:00,sell,close,4,2025.0
50,2018/07/11,22:42:00,buy,open,4,2049.0
51,2018/07/11,22:59:00,sell,close,4,2057.5
52,2018/07/13,14:28:00,sell,open,4,2042.0
53,2018/07/13,15:00:00,buy,close,4,2026.0
54,2018/07/16,9:14:00,sell,open,4,1988.0
55,2018/07/16,13:51:00,buy,close,4,2011.5
56,2018/07/18,22:46:00,buy,open,4,2023.5
57,2018/07/19,10:04:00,sell,close,4,2038.0
58,2018/07/20,9:10:00,buy,open,4,2036.0
59,2018/07/20,10:01:00,sell,close,4,2025.5
60,2018/07/23,9:57:00,buy,open,4,2077.0
61,2018/07/23,10:31:00,sell,close,4,2066.5
62,2018/07/25,14:20:00,buy,open,3,2147.0
63,2018/07/25,21:01:00,sell,close,3,2133.0
64,2018/07/26,23:26:00,buy,open,3,2170.0
65,2018/07/27,9:25:00,sell,close,3,2197.0
66,2018/07/30,9:10:00,buy,open,3,2244.0
67,2018/07/30,9:33:00,sell,close,3,2250.5
68,2018/08/01,9:15:00,buy,open,3,2317.5
69,2018/08/01,13:45:00,sell,close,3,2303.0
70,2018/08/02,14:37:00,buy,open,3,2343.0
71,2018/08/02,23:00:00,sell,close,3,2373.0
72,2018/08/06,10:54:00,buy,open,3,2475.0
73,2018/08/06,22:18:00,sell,close,3,2505.0
74,2018/08/10,10:45:00,buy,open,3,2499.0
75,2018/08/10,11:26:00,sell,close,3,2475.0
76,2018/08/13,9:07:00,buy,open,3,2473.5
77,2018/08/13,9:08:00,sell,close,3,2465.5
78,2018/08/15,21:07:00,buy,open,3,2532.5
79,2018/08/15,21:15:00,sell,close,3,2524.0
80,2018/08/16,21:24:00,buy,open,3,2591.5
81,2018/08/16,22:04:00,sell,close,3,2578.0
